"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 04 15:31:32 CST 2020","Fri Sep 04 15:34:13 CST 2020","161577","Test_Suites.Tests.test_function_with_app","test_pair_lamps_wifi_ble","","","","test_ap_pair_lamps_wifi_ble","pair_lamps_wifi_ble.feature: AP pairing wifi and ble"
"passed","Fri Sep 04 16:44:59 CST 2020","Fri Sep 04 16:45:05 CST 2020","6061","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_tw[light_3-Night light]","single_light_control_by_udp.feature: Single light control --- Change default light mode for Dim light"
"passed","Fri Sep 04 16:43:37 CST 2020","Fri Sep 04 16:43:43 CST 2020","6061","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_on_off_nl[light_3-OFF1]","single_light_control_by_udp.feature: Single light control --- ON/OFF/NL"
"passed","Fri Sep 04 16:26:08 CST 2020","Fri Sep 04 16:27:42 CST 2020","94477","Test_Suites.Tests.test_function_with_app","test_pair_lamps_only_ble","","","","test_5_wizclick_pair_lamps_only_ble","pair_lamps_only_ble.feature: 5 * WiZclick pairing only ble"
"passed","Fri Sep 04 16:43:25 CST 2020","Fri Sep 04 16:43:31 CST 2020","6061","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_on_off_nl[light_3-ON1]","single_light_control_by_udp.feature: Single light control --- ON/OFF/NL"
"passed","Fri Sep 04 17:19:43 CST 2020","Fri Sep 04 17:19:50 CST 2020","7139","Test_Suites.Tests.test_function_without_app","test_tcp_comm","","","","test_tcp_comm_change_mode_tw[light_3-Pulse]","tcp_comm.feature: Single light control by mqtt --- Change light mode for Dim light"
"passed","Fri Sep 04 16:21:50 CST 2020","Fri Sep 04 16:22:27 CST 2020","36565","Test_Suites.Tests.test_function_with_app","test_pair_lamps_only_ble","","","","test_set_app_pairing_only_ble","pair_lamps_only_ble.feature: Set app pairing mode to only ble"
"passed","Fri Sep 04 16:36:07 CST 2020","Fri Sep 04 16:38:29 CST 2020","142101","Test_Suites.Tests.test_function_with_app","test_pair_lamps_only_ble","","","","test_ap_pair_lamps_only_ble","pair_lamps_only_ble.feature: AP pairing only ble"
"passed","Fri Sep 04 16:45:11 CST 2020","Fri Sep 04 16:45:17 CST 2020","6061","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_tw[light_3-Pulse]","single_light_control_by_udp.feature: Single light control --- Change default light mode for Dim light"
"passed","Fri Sep 04 15:28:35 CST 2020","Fri Sep 04 15:30:05 CST 2020","89902","Test_Suites.Tests.test_function_with_app","test_pair_lamps_wifi_ble","","","","test_3_wizclick_pair_lamps_wifi_ble","pair_lamps_wifi_ble.feature: 3 * WiZclick pairing wifi and ble"
