"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Single Lamp Control","","0","0","24","0","0"
"","TCP Communication","","0","0","23","0","0"
"","Pair lights wifi and ble","AP pairing wifi and ble","0","0","1","0","0"
"","Pair lights only wifi","AP pairing only wifi","0","0","1","0","0"
"","Pair lights wifi and ble","Set app pairing mode to wifi and ble","0","0","1","0","0"
"","Pair lights wifi and ble","3 * WiZclick pairing wifi and ble","0","0","1","0","0"
"","Pair lights only ble","3 * WiZclick pairing only ble","0","0","1","0","0"
"","Pair lights only wifi","RTP pairing only wifi","0","0","1","0","0"
"","Pair lights only ble","Set app pairing mode to only ble","0","0","1","0","0"
"","Pair lights only ble","AP pairing only ble","0","0","1","0","0"
"","Pair lights only wifi","Set app pairing mode to only wifi","0","0","1","0","0"
"","Pair lights only ble","5 * WiZclick pairing only ble","0","0","1","0","0"
"","Pair lights only wifi","5 * WiZclick pairing only wifi","0","0","1","0","0"
"","Pair lights wifi and ble","5 * WiZclick pairing wifi and ble","0","0","1","0","0"
"","Pair lights only wifi","3 * WiZclick pairing only wifi","0","0","1","0","0"
"","Pair lights wifi and ble","RTP pairing wifi and ble","0","0","1","0","0"
"","Pair lights only ble","RTP pairing only ble","0","0","1","0","0"
