"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 04 14:31:44 CST 2020","Fri Sep 04 14:31:50 CST 2020","6049","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_tw[light_3-Pulse]","single_light_control_by_udp.feature: Single light control --- Change default light mode for TW light"
"passed","Fri Sep 04 14:29:28 CST 2020","Fri Sep 04 14:30:01 CST 2020","33246","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_dimming","single_light_control_by_udp.feature: Single light control --- Dimming"
"passed","Fri Sep 04 14:51:21 CST 2020","Fri Sep 04 14:51:28 CST 2020","7124","Test_Suites.Tests.test_function_without_app","test_tcp_comm","","","","test_tcp_comm_change_mode_tw[light_3-Golden white]","tcp_comm.feature: Single light control by mqtt --- Change light mode for TW light"
"passed","Fri Sep 04 14:31:07 CST 2020","Fri Sep 04 14:31:13 CST 2020","6041","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_tw[light_3-Night light]","single_light_control_by_udp.feature: Single light control --- Change default light mode for TW light"
"passed","Fri Sep 04 14:32:08 CST 2020","Fri Sep 04 14:32:14 CST 2020","6052","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_tw[light_3-Bedtime]","single_light_control_by_udp.feature: Single light control --- Change default light mode for TW light"
"passed","Fri Sep 04 14:30:01 CST 2020","Fri Sep 04 14:30:19 CST 2020","18173","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_temperature","single_light_control_by_udp.feature: Single light control --- Temperature"
"passed","Fri Sep 04 14:24:00 CST 2020","Fri Sep 04 14:26:30 CST 2020","150090","Test_Suites.Tests.test_function_with_app","test_pair_lamps_wifi_ble","","","","test_ap_pair_lamps_wifi_ble","pair_lamps_wifi_ble.feature: AP pairing wifi and ble"
"passed","Fri Sep 04 15:05:53 CST 2020","Fri Sep 04 15:08:28 CST 2020","154741","Test_Suites.Tests.test_function_with_app","test_pair_lamps_only_wifi","","","","test_ap_pair_lamps_only_wifi","pair_lamps_only_wifi.feature: AP pairing only wifi"
"passed","Fri Sep 04 14:29:21 CST 2020","Fri Sep 04 14:29:28 CST 2020","6028","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_on_off_nl[light_3-ON2]","single_light_control_by_udp.feature: Single light control --- ON/OFF/NL"
"passed","Fri Sep 04 14:51:14 CST 2020","Fri Sep 04 14:51:21 CST 2020","7104","Test_Suites.Tests.test_function_without_app","test_tcp_comm","","","","test_tcp_comm_change_mode_tw[light_3-Pulse]","tcp_comm.feature: Single light control by mqtt --- Change light mode for TW light"
"passed","Fri Sep 04 14:50:53 CST 2020","Fri Sep 04 14:51:00 CST 2020","7114","Test_Suites.Tests.test_function_without_app","test_tcp_comm","","","","test_tcp_comm_change_mode_tw[light_3-Focus]","tcp_comm.feature: Single light control by mqtt --- Change light mode for TW light"
"passed","Fri Sep 04 14:50:31 CST 2020","Fri Sep 04 14:50:38 CST 2020","7125","Test_Suites.Tests.test_function_without_app","test_tcp_comm","","","","test_tcp_comm_change_mode_tw[light_3-Night light]","tcp_comm.feature: Single light control by mqtt --- Change light mode for TW light"
"passed","Fri Sep 04 14:18:45 CST 2020","Fri Sep 04 14:19:22 CST 2020","36461","Test_Suites.Tests.test_function_with_app","test_pair_lamps_wifi_ble","","","","test_set_app_pairing_wifi_ble","pair_lamps_wifi_ble.feature: Set app pairing mode to wifi and ble"
"passed","Fri Sep 04 14:30:55 CST 2020","Fri Sep 04 14:31:01 CST 2020","6046","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_tw[light_3-Daylight]","single_light_control_by_udp.feature: Single light control --- Change default light mode for TW light"
