"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 22 09:18:05 CST 2020","Thu Oct 22 09:20:32 CST 2020","146672","Test_Suites.Tests.test_regression_product","test_03_pair_lamps_only_ble","","","","test_rtp_pair_lamps_only_ble","pair_lamps_only_ble.feature: RTP pairing only ble"
"passed","Thu Oct 22 09:14:50 CST 2020","Thu Oct 22 09:17:19 CST 2020","149217","Test_Suites.Tests.test_regression_product","test_02_pair_lamps_only_wifi","","","","test_ap_pair_lamps_only_wifi","pair_lamps_only_wifi.feature: AP pairing only wifi"
"passed","Thu Oct 22 09:30:52 CST 2020","Thu Oct 22 09:32:49 CST 2020","116497","Test_Suites.Tests.test_regression_product","test_04_pair_lamps_wifi_ble","","","","test_3_wizclick_pair_lamps_wifi_ble","pair_lamps_wifi_ble.feature: 3 * WiZclick pairing wifi and ble"
"passed","Thu Oct 22 09:24:36 CST 2020","Thu Oct 22 09:27:03 CST 2020","147715","Test_Suites.Tests.test_regression_product","test_03_pair_lamps_only_ble","","","","test_ap_pair_lamps_only_ble","pair_lamps_only_ble.feature: AP pairing only ble"
"passed","Thu Oct 22 09:22:50 CST 2020","Thu Oct 22 09:24:36 CST 2020","105538","Test_Suites.Tests.test_regression_product","test_03_pair_lamps_only_ble","","","","test_5_wizclick_pair_lamps_only_ble","pair_lamps_only_ble.feature: 5 * WiZclick pairing only ble"
"passed","Thu Oct 22 09:27:11 CST 2020","Thu Oct 22 09:27:48 CST 2020","36856","Test_Suites.Tests.test_regression_product","test_04_pair_lamps_wifi_ble","","","","test_set_app_pairing_wifi_ble","pair_lamps_wifi_ble.feature: Set app pairing mode to wifi and ble"
"passed","Thu Oct 22 09:12:56 CST 2020","Thu Oct 22 09:14:50 CST 2020","114578","Test_Suites.Tests.test_regression_product","test_02_pair_lamps_only_wifi","","","","test_5_wizclick_pair_lamps_only_wifi","pair_lamps_only_wifi.feature: 5 * WiZclick pairing only wifi"
"passed","Thu Oct 22 09:20:32 CST 2020","Thu Oct 22 09:22:50 CST 2020","138373","Test_Suites.Tests.test_regression_product","test_03_pair_lamps_only_ble","","","","test_3_wizclick_pair_lamps_only_ble","pair_lamps_only_ble.feature: 3 * WiZclick pairing only ble"
"passed","Thu Oct 22 09:32:49 CST 2020","Thu Oct 22 09:34:35 CST 2020","106078","Test_Suites.Tests.test_regression_product","test_04_pair_lamps_wifi_ble","","","","test_5_wizclick_pair_lamps_wifi_ble","pair_lamps_wifi_ble.feature: 5 * WiZclick pairing wifi and ble"
"passed","Thu Oct 22 09:11:19 CST 2020","Thu Oct 22 09:12:56 CST 2020","96162","Test_Suites.Tests.test_regression_product","test_02_pair_lamps_only_wifi","","","","test_3_wizclick_pair_lamps_only_wifi","pair_lamps_only_wifi.feature: 3 * WiZclick pairing only wifi"
"passed","Thu Oct 22 09:10:42 CST 2020","Thu Oct 22 09:11:19 CST 2020","37130","Test_Suites.Tests.test_regression_product","test_02_pair_lamps_only_wifi","","","","test_set_app_pairing_only_wifi","pair_lamps_only_wifi.feature: Set app pairing mode to only wifi"
"passed","Thu Oct 22 09:27:48 CST 2020","Thu Oct 22 09:30:52 CST 2020","184094","Test_Suites.Tests.test_regression_product","test_04_pair_lamps_wifi_ble","","","","test_rtp_pair_lamps_wifi_ble","pair_lamps_wifi_ble.feature: RTP pairing wifi and ble"
"passed","Thu Oct 22 09:34:35 CST 2020","Thu Oct 22 09:37:09 CST 2020","153959","Test_Suites.Tests.test_regression_product","test_04_pair_lamps_wifi_ble","","","","test_ap_pair_lamps_wifi_ble","pair_lamps_wifi_ble.feature: AP pairing wifi and ble"
"passed","Thu Oct 22 09:17:28 CST 2020","Thu Oct 22 09:18:05 CST 2020","37181","Test_Suites.Tests.test_regression_product","test_03_pair_lamps_only_ble","","","","test_set_app_pairing_only_ble","pair_lamps_only_ble.feature: Set app pairing mode to only ble"
