"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 23 10:55:53 CST 2020","Wed Dec 23 10:56:02 CST 2020","9012","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Pastel colors]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Wed Dec 23 11:04:16 CST 2020","Wed Dec 23 11:04:26 CST 2020","10075","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Party]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Wed Dec 23 10:52:34 CST 2020","Wed Dec 23 10:52:55 CST 2020","21042","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_temperature","single_light_control_by_udp.feature: Single light control --- Temperature"
"passed","Wed Dec 23 10:53:55 CST 2020","Wed Dec 23 10:54:04 CST 2020","9007","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Night light]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Wed Dec 23 10:59:03 CST 2020","Wed Dec 23 10:59:13 CST 2020","10206","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_on_off_nl[light_1-ON1]","tcp_comm.feature: Single light control by mqtt --- ON/OFF/NL"
"passed","Wed Dec 23 11:05:27 CST 2020","Wed Dec 23 11:05:37 CST 2020","10312","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Ocean]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Wed Dec 23 10:55:16 CST 2020","Wed Dec 23 10:55:25 CST 2020","9018","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Club]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Wed Dec 23 11:02:23 CST 2020","Wed Dec 23 11:02:33 CST 2020","10142","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Cozy]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Wed Dec 23 11:01:43 CST 2020","Wed Dec 23 11:01:53 CST 2020","10089","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Warm white]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Wed Dec 23 10:56:11 CST 2020","Wed Dec 23 10:56:20 CST 2020","9018","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Summer]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Wed Dec 23 12:06:31 CST 2020","Wed Dec 23 12:07:07 CST 2020","36078","Test_Suites.Tests.test_regression_product","test_08_rhythm_by_mqtt","","","","test_14_select_same_lamp_mode_for_all_lamp_point_by_mqtt","rhythm_actions.feature: Select same lamp mode for all lamp point"
"passed","Wed Dec 23 10:43:29 CST 2020","Wed Dec 23 10:44:10 CST 2020","40818","Test_Suites.Tests.test_regression_product","test_03_pair_lamps_only_ble","","","","test_set_app_pairing_only_ble","pair_lamps_only_ble.feature: Set app pairing mode to only ble"
"passed","Wed Dec 23 11:05:06 CST 2020","Wed Dec 23 11:05:17 CST 2020","10100","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Jungle]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Wed Dec 23 12:20:12 CST 2020","Wed Dec 23 12:21:28 CST 2020","76240","Test_Suites.Tests.test_regression_product","test_08_rhythm_by_mqtt","","","","test_19_turn_off_then_turn_on_without_specifying_lamp_mode_when_rhythms_playing_by_mqtt","rhythm_actions.feature: Turn off and then turn on without specifying any lamp mode when Rhythms playing"
"passed","Wed Dec 23 11:03:45 CST 2020","Wed Dec 23 11:03:56 CST 2020","10110","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Club]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Wed Dec 23 11:05:37 CST 2020","Wed Dec 23 11:05:47 CST 2020","10122","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Deep dive]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Wed Dec 23 11:04:46 CST 2020","Wed Dec 23 11:04:56 CST 2020","10170","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Summer]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Wed Dec 23 11:04:26 CST 2020","Wed Dec 23 11:04:36 CST 2020","10162","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Pastel colors]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Wed Dec 23 11:03:56 CST 2020","Wed Dec 23 11:04:06 CST 2020","10115","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Sunset]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Wed Dec 23 11:00:37 CST 2020","Wed Dec 23 11:01:05 CST 2020","28420","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_temperature","tcp_comm.feature: Single light control by mqtt --- Temperature"
"passed","Wed Dec 23 11:03:04 CST 2020","Wed Dec 23 11:03:14 CST 2020","10103","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-TV time]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Wed Dec 23 10:46:54 CST 2020","Wed Dec 23 10:47:36 CST 2020","42009","Test_Suites.Tests.test_regression_product","test_04_pair_lamps_wifi_ble","","","","test_set_app_pairing_wifi_ble","pair_lamps_wifi_ble.feature: Set app pairing mode to wifi and ble"
"passed","Wed Dec 23 10:57:50 CST 2020","Wed Dec 23 10:57:59 CST 2020","9013","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Christmas]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Wed Dec 23 11:41:34 CST 2020","Wed Dec 23 11:57:20 CST 2020","946201","Test_Suites.Tests.test_regression_product","test_07_schedule_by_mqtt","","","","test_36_change_mode_during_schedule_end_with_previous_mode","schedule_actions.feature: Change mode during schedule end with ""previous mode"""
"passed","Wed Dec 23 11:05:17 CST 2020","Wed Dec 23 11:05:27 CST 2020","10096","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Mojito]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Wed Dec 23 10:56:47 CST 2020","Wed Dec 23 10:56:56 CST 2020","9021","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Ocean]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Wed Dec 23 11:07:17 CST 2020","Wed Dec 23 11:13:53 CST 2020","396017","Test_Suites.Tests.test_regression_product","test_07_schedule_by_mqtt","","","","test_01_create_default_schedule_by_mqtt","schedule_actions.feature: Create default schedule by mqtt"
"passed","Wed Dec 23 10:58:53 CST 2020","Wed Dec 23 10:59:03 CST 2020","10297","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_on_off_nl[light_1-OFF0]","tcp_comm.feature: Single light control by mqtt --- ON/OFF/NL"
"passed","Wed Dec 23 10:56:02 CST 2020","Wed Dec 23 10:56:11 CST 2020","9016","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Spring]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Wed Dec 23 10:55:25 CST 2020","Wed Dec 23 10:55:34 CST 2020","9021","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Sunset]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Wed Dec 23 11:03:14 CST 2020","Wed Dec 23 11:03:24 CST 2020","10095","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Candlelight]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Wed Dec 23 10:59:24 CST 2020","Wed Dec 23 10:59:34 CST 2020","10108","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_on_off_nl[light_1-OFF1]","tcp_comm.feature: Single light control by mqtt --- ON/OFF/NL"
"passed","Wed Dec 23 12:05:01 CST 2020","Wed Dec 23 12:06:31 CST 2020","90231","Test_Suites.Tests.test_regression_product","test_08_rhythm_by_mqtt","","","","test_08_edit_time_for_circadian_rhythm_by_mqtt","rhythm_actions.feature: Edit time for circadian rhythm"
"passed","Wed Dec 23 11:06:28 CST 2020","Wed Dec 23 11:06:38 CST 2020","10070","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Bedtime]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Wed Dec 23 10:56:38 CST 2020","Wed Dec 23 10:56:47 CST 2020","9018","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Mojito]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Wed Dec 23 11:01:05 CST 2020","Wed Dec 23 11:01:43 CST 2020","37691","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_speed","tcp_comm.feature: Single light control by mqtt --- Speed"
"passed","Wed Dec 23 11:04:06 CST 2020","Wed Dec 23 11:04:16 CST 2020","10081","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Romance]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Wed Dec 23 10:51:31 CST 2020","Wed Dec 23 10:51:40 CST 2020","9016","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_on_off_nl[light_1-OFF1]","single_light_control_by_udp.feature: Single light control --- ON/OFF/NL"
"passed","Wed Dec 23 10:55:44 CST 2020","Wed Dec 23 10:55:53 CST 2020","9017","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Party]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Wed Dec 23 10:54:31 CST 2020","Wed Dec 23 10:54:40 CST 2020","9012","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Focus]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Wed Dec 23 10:55:07 CST 2020","Wed Dec 23 10:55:16 CST 2020","9008","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Fall]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Wed Dec 23 10:56:29 CST 2020","Wed Dec 23 10:56:38 CST 2020","9016","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Jungle]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Wed Dec 23 12:04:13 CST 2020","Wed Dec 23 12:05:01 CST 2020","47162","Test_Suites.Tests.test_regression_product","test_08_rhythm_by_mqtt","","","","test_04_select_rhythm_by_mqtt","rhythm_actions.feature: Select rhythm by mqtt"
