"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Temperature, Speed And Light Mode","TCP Device Control - RGB Device","0","0","39","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Daylight"" and end with ""Previous mode"" when lamp original status is on","0","0","1","0","0"
"","Temperature, Speed And Light Mode","UDP Device Control - RGB Device","0","0","39","0","0"
"","Pairing","Pairing by wifi and ble","0","0","2","0","0"
"","ON/OFF/NL/Dimming","TCP Device Control","0","0","19","0","0"
"","Create schedule by mqtt","Dimming during schedule end with ""OFF""","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Bedtime"" and end with ""OFF"" when lamp original status is ""OFF""","0","0","1","0","0"
"","Create schedule by mqtt","Edit schedule to end with off by mqtt","0","0","1","0","0"
"","Temperature, Speed And Light Mode","Device Special Modes Control - RGB Device","0","0","1","0","0"
"","Test cases for rhythm","Turn off and then turn on without specifying any lamp mode when Rhythms playing","0","0","1","0","0"
"","ON/OFF/NL/Dimming","UDP Device Control","0","0","21","0","0"
"","Create schedule by mqtt","Change speed during schedule, action is dynamic mode and end with ""previous mode""","0","0","1","0","0"
"","Device FW OTA","","0","0","3","0","0"
"","Pairing","Pairing by only wifi","1","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Golden white"" and no end when lamp original status is ""Pulse""","0","0","1","0","0"
"","Test cases for rhythm","Disable rhythm by mqtt","0","0","1","0","0"
"","Test cases for rhythm","Save scene when rhythm playing","0","0","1","0","0"
"","Create schedule by mqtt","Press ""ON"" during schedule end with ""OFF""","0","0","1","0","0"
"","Test cases for rhythm","Enable circadian rhythm by mqtt","0","0","1","0","0"
"","Create schedule by mqtt","Delete a schedule","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Warm White"" and end with ""Off"" when lamp original status is off","0","0","1","0","0"
"","Create schedule by mqtt","Create 2 schedules of two intersecting time periods","1","0","0","0","0"
"","Create schedule by mqtt","Create 2 schedules of two consecutive periods,schedule1 end with ""previous mode""and schedule2 no ""END""","0","0","1","0","0"
"","Create schedule by mqtt","Create schedule by mqtt","0","0","1","0","0"
"","Create schedule by mqtt","Create 2 schedules of two consecutive periods,schedule1 end with ""previous mode""and schedule2 end with ""previous mode""","0","0","1","0","0"
"","Test cases for rhythm","Turn off and then turn on in cool white mode when Rhythms playing","0","0","1","0","0"
"","Create schedule by mqtt","Change mode during schedule end with ""previous mode""","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Wake-up"" and end with ""Previous mode"" after 30min when lamp original status is ""Night Light""","0","0","1","0","0"
"","Create schedule by mqtt","Create schedule with the same time, same room, different scenes by mqtt","0","0","1","0","0"
"","Create schedule by mqtt","Edit a schedule end of the way when the schedule has been stated by mqtt","0","0","1","0","0"
"","Test cases for rhythm","Turn to Night light mode and then turn on from in cool white mode when Rhythms playing","0","0","1","0","0"
"","Test cases for rhythm","Edit time for circadian rhythm","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Bedtime"" and end with ""Previous mode"" after 30min when lamp original status is ""Warm White""","1","0","0","0","0"
"","Test cases for rhythm","Trigger a schedule when rhythm playing","0","0","1","0","0"
"","Create schedule by mqtt","Create 2 schedules of two consecutive periods,schedule1 end with ""OFF""and schedule2 end with ""previous mode""","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Wake-up"" and end with ""Previous mode"" when lamp original status is ""Night Light""","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Wake-up"" and end with ""Previous mode"" when lamp original status is ""ON""","0","0","1","0","0"
"","Test cases for rhythm","Turn to Night light mode and then turn on without specifying any lamp mode when Rhythms playing","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Wake-up"" and end with ""Previous mode"" after 30min when lamp original status is ""OFF""","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Cozy"" and no end when lamp original status is ""Night light""","0","0","1","0","0"
"","Create schedule by mqtt","Open the vacation mode","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Bedtime"" and end with ""off"" when lamp original status is ""Warm White""","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Wake-up"" and end with ""OFF"" when lamp original status is ""OFF""","0","0","1","0","0"
"","Test cases for rhythm","Select rhythm by mqtt","0","0","1","0","0"
"","Test cases for rhythm","Select same lamp mode for all lamp point","0","0","1","0","0"
"","Create schedule by mqtt","Create default schedule by mqtt","0","0","1","0","0"
"","Create schedule by mqtt","Press ""OFF"" then ""ON"" during schedule end with ""previous mode""","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Bedtime"" and end with ""Previous mode"" when lamp original status is ""Night Light""","0","0","1","0","0"
