"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 30 09:28:20 CST 2020","Thu Jul 30 09:29:17 CST 2020","57218","Test_Suites.Tests.test_function_without_app","test_rhythm_by_mqtt","","","","test_16_save_scene_when_rhythm_playing_by_mqtt","rhythm_actions.feature: Save scene when rhythm playing"
"passed","Thu Jul 30 10:28:09 CST 2020","Thu Jul 30 10:28:15 CST 2020","6042","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_tw[light_2-Steampunk]","single_light_control_by_udp.feature: Single light control --- Change default light mode for TW light"
"passed","Thu Jul 30 10:28:02 CST 2020","Thu Jul 30 10:28:09 CST 2020","6047","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_tw[light_2-Golden white]","single_light_control_by_udp.feature: Single light control --- Change default light mode for TW light"
"passed","Thu Jul 30 10:35:30 CST 2020","Thu Jul 30 10:35:37 CST 2020","7132","Test_Suites.Tests.test_function_without_app","test_tcp_comm","","","","test_tcp_comm_change_mode_tw[light_2-Cool white]","tcp_comm.feature: Single light control by mqtt --- Change light mode for TW light"
"passed","Wed Jul 29 18:21:05 CST 2020","Wed Jul 29 18:33:00 CST 2020","714375","Test_Suites.Tests.test_function_without_app","test_schedule_by_mqtt","","","","test_13_create_schedule_with_daylight_end_with_previous_mode_when_lamp_status_on","schedule_actions.feature: Create a schedule with action ""Daylight"" and end with ""Previous mode"" when lamp original status is on"
"passed","Thu Jul 30 10:36:42 CST 2020","Thu Jul 30 10:36:49 CST 2020","7153","Test_Suites.Tests.test_function_without_app","test_tcp_comm","","","","test_tcp_comm_change_mode_tw[light_2-Steampunk]","tcp_comm.feature: Single light control by mqtt --- Change light mode for TW light"
"passed","Wed Jul 29 19:16:05 CST 2020","Wed Jul 29 19:26:05 CST 2020","600282","Test_Suites.Tests.test_function_without_app","test_schedule_by_mqtt","","","","test_15_create_schedule_with_bedtime_end_with_off_when_lamp_status_warm_white","schedule_actions.feature: Create a schedule with action ""Bedtime"" and end with ""off"" when lamp original status is ""Warm White"""
"passed","Thu Jul 30 10:28:21 CST 2020","Thu Jul 30 10:28:27 CST 2020","6033","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_tw[light_2-Bedtime]","single_light_control_by_udp.feature: Single light control --- Change default light mode for TW light"
"passed","Thu Jul 30 09:26:19 CST 2020","Thu Jul 30 09:27:47 CST 2020","87354","Test_Suites.Tests.test_function_without_app","test_rhythm_by_mqtt","","","","test_08_edit_time_for_circadian_rhythm_by_mqtt","rhythm_actions.feature: Edit time for circadian rhythm"
"passed","Thu Jul 30 10:25:22 CST 2020","Thu Jul 30 10:25:28 CST 2020","6059","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_on_off_nl[light_1-OFF1]","single_light_control_by_udp.feature: Single light control --- ON/OFF/NL"
"passed","Thu Jul 30 03:56:05 CST 2020","Thu Jul 30 04:11:00 CST 2020","895352","Test_Suites.Tests.test_function_without_app","test_schedule_by_mqtt","","","","test_34_press_off_then_on_during_schedule_end_with_previous_mode","schedule_actions.feature: Press ""OFF"" then ""ON"" during schedule end with ""previous mode"""
"passed","Thu Jul 30 10:11:10 CST 2020","Thu Jul 30 10:13:32 CST 2020","141964","Test_Suites.Tests.test_function_with_app","test_pair_lamps_only_ble","","","","test_ap_pair_lamps_only_ble","pair_lamps_only_ble.feature: AP pairing only ble"
"passed","Wed Jul 29 18:33:00 CST 2020","Wed Jul 29 19:16:05 CST 2020","2585350","Test_Suites.Tests.test_function_without_app","test_schedule_by_mqtt","","","","test_14_create_schedule_with_warm_white_end_with_previous_mode_when_lamp_status_bedtime","schedule_actions.feature: Create a schedule with action ""Warm White"" and end with ""Previous mode"" when lamp original status is ""Bedtime"""
"passed","Thu Jul 30 10:26:14 CST 2020","Thu Jul 30 10:26:32 CST 2020","18146","Test_Suites.Tests.test_function_without_app","test_single_lamp_control_by_udp","","","","test_single_light_control_temperature","single_light_control_by_udp.feature: Single light control --- Temperature"
"passed","Thu Jul 30 10:33:15 CST 2020","Thu Jul 30 10:33:22 CST 2020","7110","Test_Suites.Tests.test_function_without_app","test_tcp_comm","","","","test_tcp_comm_on_off_nl[light_1-OFF1]","tcp_comm.feature: Single light control by mqtt --- ON/OFF/NL"
"passed","Thu Jul 30 09:17:12 CST 2020","Thu Jul 30 09:21:00 CST 2020","228305","Test_Suites.Tests.test_function_without_app","test_schedule_by_mqtt","","","","test_01_create_default_schedule_by_mqtt","schedule_actions.feature: Create default schedule by mqtt"
