"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 23 17:23:45 CST 2020","Wed Dec 23 17:23:57 CST 2020","11980","Test_Suites.Tests.test_regression_product","test_06_tcp_communication","","","","test_tcp_comm_change_mode_tw[light_1-Pulse-wizappd]","tcp_comm.feature: Single device control by mqtt - Change light mode for TW device"
"passed","Mon Dec 21 17:25:39 CST 2020","Mon Dec 21 17:25:50 CST 2020","11470","Test_Suites.Tests.test_regression_product","test_06_tcp_communication","","","","test_tcp_comm_change_mode_rgb[light_1-Jungle-wizappd]","tcp_comm.feature: Single device control by mqtt - Change light mode for RGB device"
"passed","Mon Dec 21 17:24:53 CST 2020","Mon Dec 21 17:25:04 CST 2020","11415","Test_Suites.Tests.test_regression_product","test_06_tcp_communication","","","","test_tcp_comm_change_mode_rgb[light_1-Pastel colors-wizappd]","tcp_comm.feature: Single device control by mqtt - Change light mode for RGB device"
"passed","Mon Dec 21 17:22:35 CST 2020","Mon Dec 21 17:22:46 CST 2020","11336","Test_Suites.Tests.test_regression_product","test_06_tcp_communication","","","","test_tcp_comm_change_mode_rgb[light_1-Cozy-wizappd]","tcp_comm.feature: Single device control by mqtt - Change light mode for RGB device"
"passed","Thu Dec 24 02:02:00 CST 2020","Thu Dec 24 02:17:56 CST 2020","955838","Test_Suites.Tests.test_regression_product","test_07_schedule_by_mqtt","","","","test_37_change_speed_during_schedule_action_dynamic_mode_end_with_previous_mode","schedule.feature: Change speed during schedule, action is dynamic mode and end with ""previous mode"""
"passed","Wed Dec 23 17:24:09 CST 2020","Wed Dec 23 17:24:21 CST 2020","11853","Test_Suites.Tests.test_regression_product","test_06_tcp_communication","","","","test_tcp_comm_change_mode_tw[light_1-Steampunk-wizappd]","tcp_comm.feature: Single device control by mqtt - Change light mode for TW device"
"passed","Wed Dec 23 17:18:14 CST 2020","Wed Dec 23 17:18:25 CST 2020","10894","Test_Suites.Tests.test_regression_product","test_05_udp_communication","","","","test_single_device_control_change_mode_tw[light_1-Bedtime-udp]","single_device_control_by_udp.feature: Single device control - Change default light mode for TW device"
"passed","Mon Dec 21 17:24:41 CST 2020","Mon Dec 21 17:24:53 CST 2020","11479","Test_Suites.Tests.test_regression_product","test_06_tcp_communication","","","","test_tcp_comm_change_mode_rgb[light_1-Party-wizappd]","tcp_comm.feature: Single device control by mqtt - Change light mode for RGB device"
"failed","Wed Dec 23 16:55:23 CST 2020","Wed Dec 23 16:55:45 CST 2020","22107","Test_Suites.Tests.test_regression_product","test_05_udp_communication","","","","test_single_device_control_change_mode_tw[light_2-Focus-udp]","single_device_control_by_udp.feature: Single device control - Change default light mode for TW device"
"passed","Wed Dec 23 22:29:04 CST 2020","Wed Dec 23 22:39:50 CST 2020","646128","Test_Suites.Tests.test_regression_product","test_07_schedule_by_mqtt","","","","test_22_create_schedule_with_wake_up_end_with_previous_mode_when_lamp_status_night_light","schedule.feature: Create a schedule with action ""Wake-up"" and end with ""Previous mode"" when lamp original status is ""Night Light"""
"passed","Thu Dec 24 00:25:21 CST 2020","Thu Dec 24 00:41:45 CST 2020","984105","Test_Suites.Tests.test_regression_product","test_07_schedule_by_mqtt","","","","test_30_create_two_schedules_of_two_consecutive_periods_schedule1_end_with_off_schedule2_end_with_previous_mode","schedule.feature: Create 2 schedules of two consecutive periods,schedule1 end with ""OFF""and schedule2 end with ""previous mode"""
"passed","Wed Dec 23 17:17:19 CST 2020","Wed Dec 23 17:17:30 CST 2020","11048","Test_Suites.Tests.test_regression_product","test_05_udp_communication","","","","test_single_device_control_change_mode_tw[light_1-Candlelight-udp]","single_device_control_by_udp.feature: Single device control - Change default light mode for TW device"
"passed","Mon Dec 21 17:12:38 CST 2020","Mon Dec 21 17:12:49 CST 2020","10994","Test_Suites.Tests.test_regression_product","test_05_udp_communication","","","","test_single_device_control_change_mode_rgb[light_1-Daylight-udp]","single_device_control_by_udp.feature: Single device control - Change default light mode for RGB device"
"passed","Mon Dec 21 17:21:49 CST 2020","Mon Dec 21 17:22:00 CST 2020","11649","Test_Suites.Tests.test_regression_product","test_06_tcp_communication","","","","test_tcp_comm_change_mode_rgb[light_1-Warm white-wizappd]","tcp_comm.feature: Single device control by mqtt - Change light mode for RGB device"
"passed","Wed Dec 23 19:11:40 CST 2020","Wed Dec 23 19:22:35 CST 2020","654675","Test_Suites.Tests.test_regression_product","test_07_schedule_by_mqtt","","","","test_15_create_schedule_with_bedtime_end_with_off_when_lamp_status_warm_white","schedule.feature: Create a schedule with action ""Bedtime"" and end with ""off"" when lamp original status is ""Warm White"""
"passed","Wed Dec 23 17:15:51 CST 2020","Wed Dec 23 17:16:02 CST 2020","11055","Test_Suites.Tests.test_regression_product","test_05_udp_communication","","","","test_single_device_control_change_mode_tw[light_1-Warm white-udp]","single_device_control_by_udp.feature: Single device control - Change default light mode for TW device"
"failed","Wed Dec 23 19:22:35 CST 2020","Wed Dec 23 20:03:46 CST 2020","2470570","Test_Suites.Tests.test_regression_product","test_07_schedule_by_mqtt","","","","test_16_create_schedule_with_bedtime_end_with_previous_mode_after_30min_when_lamp_status_warm_white","schedule.feature: Create a schedule with action ""Bedtime"" and end with ""Previous mode"" after 30min when lamp original status is ""Warm White"""
"passed","Mon Dec 21 17:16:51 CST 2020","Mon Dec 21 17:17:02 CST 2020","10997","Test_Suites.Tests.test_regression_product","test_05_udp_communication","","","","test_single_device_control_change_mode_rgb[light_1-Pulse-udp]","single_device_control_by_udp.feature: Single device control - Change default light mode for RGB device"
"passed","Mon Dec 21 17:15:33 CST 2020","Mon Dec 21 17:15:45 CST 2020","11174","Test_Suites.Tests.test_regression_product","test_05_udp_communication","","","","test_single_device_control_change_mode_rgb[light_1-Spring-udp]","single_device_control_by_udp.feature: Single device control - Change default light mode for RGB device"
"passed","Wed Dec 23 17:16:35 CST 2020","Wed Dec 23 17:16:46 CST 2020","10965","Test_Suites.Tests.test_regression_product","test_05_udp_communication","","","","test_single_device_control_change_mode_tw[light_1-Cozy-udp]","single_device_control_by_udp.feature: Single device control - Change default light mode for TW device"
"passed","Mon Dec 21 17:22:00 CST 2020","Mon Dec 21 17:22:12 CST 2020","11360","Test_Suites.Tests.test_regression_product","test_06_tcp_communication","","","","test_tcp_comm_change_mode_rgb[light_1-Daylight-wizappd]","tcp_comm.feature: Single device control by mqtt - Change light mode for RGB device"
